((-3.19665, 55.94686), (-3.195879, 55.94686), (-3.195879, 55.946424), (-3.19665, 55.946424), (-3.19665, 55.94686))
((-3.195879, 55.94686), (-3.195108, 55.94686), (-3.195108, 55.946424), (-3.195879, 55.946424), (-3.195879, 55.94686))
((-3.195108, 55.94686), (-3.194337, 55.94686), (-3.194337, 55.946424), (-3.195108, 55.946424), (-3.195108, 55.94686))
((-3.194337, 55.94686), (-3.193566, 55.94686), (-3.193566, 55.946424), (-3.194337, 55.946424), (-3.194337, 55.94686))
((-3.193566, 55.94686), (-3.192795, 55.94686), (-3.192795, 55.946424), (-3.193566, 55.946424), (-3.193566, 55.94686))
((-3.192795, 55.94686), (-3.192024, 55.94686), (-3.192024, 55.946424), (-3.192795, 55.946424), (-3.192795, 55.94686))
((-3.192024, 55.94686), (-3.191253, 55.94686), (-3.191253, 55.946424), (-3.192024, 55.946424), (-3.192024, 55.94686))
((-3.191253, 55.94686), (-3.190482, 55.94686), (-3.190482, 55.946424), (-3.191253, 55.946424), (-3.191253, 55.94686))
((-3.190482, 55.94686), (-3.189711, 55.94686), (-3.189711, 55.946424), (-3.190482, 55.946424), (-3.190482, 55.94686))
((-3.189711, 55.94686), (-3.1889399999999997, 55.94686), (-3.1889399999999997, 55.946424), (-3.189711, 55.946424), (-3.189711, 55.94686))
((-3.1889399999999997, 55.94686), (-3.188169, 55.94686), (-3.188169, 55.946424), (-3.1889399999999997, 55.946424), (-3.1889399999999997, 55.94686))
((-3.188169, 55.94686), (-3.187398, 55.94686), (-3.187398, 55.946424), (-3.188169, 55.946424), (-3.188169, 55.94686))
((-3.187398, 55.94686), (-3.1866269999999997, 55.94686), (-3.1866269999999997, 55.946424), (-3.187398, 55.946424), (-3.187398, 55.94686))
((-3.1866269999999997, 55.94686), (-3.185856, 55.94686), (-3.185856, 55.946424), (-3.1866269999999997, 55.946424), (-3.1866269999999997, 55.94686))
((-3.185856, 55.94686), (-3.185085, 55.94686), (-3.185085, 55.946424), (-3.185856, 55.946424), (-3.185856, 55.94686))
((-3.185085, 55.94686), (-3.1843139999999996, 55.94686), (-3.1843139999999996, 55.946424), (-3.185085, 55.946424), (-3.185085, 55.94686))
((-3.1843139999999996, 55.94686), (-3.183543, 55.94686), (-3.183543, 55.946424), (-3.1843139999999996, 55.946424), (-3.1843139999999996, 55.94686))
((-3.183543, 55.94686), (-3.182772, 55.94686), (-3.182772, 55.946424), (-3.183543, 55.946424), (-3.183543, 55.94686))
((-3.182772, 55.94686), (-3.1820009999999996, 55.94686), (-3.1820009999999996, 55.946424), (-3.182772, 55.946424), (-3.182772, 55.94686))
((-3.1820009999999996, 55.94686), (-3.18123, 55.94686), (-3.18123, 55.946424), (-3.1820009999999996, 55.946424), (-3.1820009999999996, 55.94686))
((-3.19665, 55.946424), (-3.195879, 55.946424), (-3.195879, 55.945988), (-3.19665, 55.945988), (-3.19665, 55.946424))
((-3.195879, 55.946424), (-3.195108, 55.946424), (-3.195108, 55.945988), (-3.195879, 55.945988), (-3.195879, 55.946424))
((-3.195108, 55.946424), (-3.194337, 55.946424), (-3.194337, 55.945988), (-3.195108, 55.945988), (-3.195108, 55.946424))
((-3.194337, 55.946424), (-3.193566, 55.946424), (-3.193566, 55.945988), (-3.194337, 55.945988), (-3.194337, 55.946424))
((-3.193566, 55.946424), (-3.192795, 55.946424), (-3.192795, 55.945988), (-3.193566, 55.945988), (-3.193566, 55.946424))
((-3.192795, 55.946424), (-3.192024, 55.946424), (-3.192024, 55.945988), (-3.192795, 55.945988), (-3.192795, 55.946424))
((-3.192024, 55.946424), (-3.191253, 55.946424), (-3.191253, 55.945988), (-3.192024, 55.945988), (-3.192024, 55.946424))
((-3.191253, 55.946424), (-3.190482, 55.946424), (-3.190482, 55.945988), (-3.191253, 55.945988), (-3.191253, 55.946424))
((-3.190482, 55.946424), (-3.189711, 55.946424), (-3.189711, 55.945988), (-3.190482, 55.945988), (-3.190482, 55.946424))
((-3.189711, 55.946424), (-3.1889399999999997, 55.946424), (-3.1889399999999997, 55.945988), (-3.189711, 55.945988), (-3.189711, 55.946424))
((-3.1889399999999997, 55.946424), (-3.188169, 55.946424), (-3.188169, 55.945988), (-3.1889399999999997, 55.945988), (-3.1889399999999997, 55.946424))
((-3.188169, 55.946424), (-3.187398, 55.946424), (-3.187398, 55.945988), (-3.188169, 55.945988), (-3.188169, 55.946424))
((-3.187398, 55.946424), (-3.1866269999999997, 55.946424), (-3.1866269999999997, 55.945988), (-3.187398, 55.945988), (-3.187398, 55.946424))
((-3.1866269999999997, 55.946424), (-3.185856, 55.946424), (-3.185856, 55.945988), (-3.1866269999999997, 55.945988), (-3.1866269999999997, 55.946424))
((-3.185856, 55.946424), (-3.185085, 55.946424), (-3.185085, 55.945988), (-3.185856, 55.945988), (-3.185856, 55.946424))
((-3.185085, 55.946424), (-3.1843139999999996, 55.946424), (-3.1843139999999996, 55.945988), (-3.185085, 55.945988), (-3.185085, 55.946424))
((-3.1843139999999996, 55.946424), (-3.183543, 55.946424), (-3.183543, 55.945988), (-3.1843139999999996, 55.945988), (-3.1843139999999996, 55.946424))
((-3.183543, 55.946424), (-3.182772, 55.946424), (-3.182772, 55.945988), (-3.183543, 55.945988), (-3.183543, 55.946424))
((-3.182772, 55.946424), (-3.1820009999999996, 55.946424), (-3.1820009999999996, 55.945988), (-3.182772, 55.945988), (-3.182772, 55.946424))
((-3.1820009999999996, 55.946424), (-3.18123, 55.946424), (-3.18123, 55.945988), (-3.1820009999999996, 55.945988), (-3.1820009999999996, 55.946424))
((-3.19665, 55.945988), (-3.195879, 55.945988), (-3.195879, 55.945552), (-3.19665, 55.945552), (-3.19665, 55.945988))
((-3.195879, 55.945988), (-3.195108, 55.945988), (-3.195108, 55.945552), (-3.195879, 55.945552), (-3.195879, 55.945988))
((-3.195108, 55.945988), (-3.194337, 55.945988), (-3.194337, 55.945552), (-3.195108, 55.945552), (-3.195108, 55.945988))
((-3.194337, 55.945988), (-3.193566, 55.945988), (-3.193566, 55.945552), (-3.194337, 55.945552), (-3.194337, 55.945988))
((-3.193566, 55.945988), (-3.192795, 55.945988), (-3.192795, 55.945552), (-3.193566, 55.945552), (-3.193566, 55.945988))
((-3.192795, 55.945988), (-3.192024, 55.945988), (-3.192024, 55.945552), (-3.192795, 55.945552), (-3.192795, 55.945988))
((-3.192024, 55.945988), (-3.191253, 55.945988), (-3.191253, 55.945552), (-3.192024, 55.945552), (-3.192024, 55.945988))
((-3.191253, 55.945988), (-3.190482, 55.945988), (-3.190482, 55.945552), (-3.191253, 55.945552), (-3.191253, 55.945988))
((-3.190482, 55.945988), (-3.189711, 55.945988), (-3.189711, 55.945552), (-3.190482, 55.945552), (-3.190482, 55.945988))
((-3.189711, 55.945988), (-3.1889399999999997, 55.945988), (-3.1889399999999997, 55.945552), (-3.189711, 55.945552), (-3.189711, 55.945988))
((-3.1889399999999997, 55.945988), (-3.188169, 55.945988), (-3.188169, 55.945552), (-3.1889399999999997, 55.945552), (-3.1889399999999997, 55.945988))
((-3.188169, 55.945988), (-3.187398, 55.945988), (-3.187398, 55.945552), (-3.188169, 55.945552), (-3.188169, 55.945988))
((-3.187398, 55.945988), (-3.1866269999999997, 55.945988), (-3.1866269999999997, 55.945552), (-3.187398, 55.945552), (-3.187398, 55.945988))
((-3.1866269999999997, 55.945988), (-3.185856, 55.945988), (-3.185856, 55.945552), (-3.1866269999999997, 55.945552), (-3.1866269999999997, 55.945988))
((-3.185856, 55.945988), (-3.185085, 55.945988), (-3.185085, 55.945552), (-3.185856, 55.945552), (-3.185856, 55.945988))
((-3.185085, 55.945988), (-3.1843139999999996, 55.945988), (-3.1843139999999996, 55.945552), (-3.185085, 55.945552), (-3.185085, 55.945988))
((-3.1843139999999996, 55.945988), (-3.183543, 55.945988), (-3.183543, 55.945552), (-3.1843139999999996, 55.945552), (-3.1843139999999996, 55.945988))
