Time,PM2.5(lpr),Distance(lpr),PM2.5(short),Distance(short)
0:00,39.09,1.41,51.45,1.18
1:00,27.94,1.82,49.28,1.18
2:00,54.74,1.52,81.31,1.18
3:00,28.79,1.4,37.27,1.18
4:00,10.46,1.44,13.89,1.18
5:00,13.5,1.43,19.77,1.18
6:00,12.83,1.24,14.9,1.18
7:00,11.92,1.21,14.88,1.18
8:00,14.98,1.22,17.12,1.18
9:00,11.52,1.4,15.76,1.18
10:00,11.4,1.42,17.33,1.18
11:00,20.58,1.41,28.31,1.18
12:00,11.39,1.21,13.28,1.18
13:00,15,1.26,17.72,1.18
14:00,5.86,1.73,10.9,1.18
15:00,8.23,1.82,15.52,1.18
16:00,12.17,1.28,15.02,1.18
17:00,7.97,1.51,12.21,1.18
18:00,9.33,1.51,14.84,1.18
19:00,4.63,1.52,9.48,1.18
20:00,9.63,1.82,17.28,1.18
21:00,14.72,1.34,18.94,1.18
22:00,8.28,1.84,15.13,1.18
23:00,9.73,1.6,14.98,1.18
